10:7:46:783;0;2051551;459;
10:7:47:784;1;1473252;662;
10:7:48:785;2;1261006;775;
10:7:49:785;3;1176737;831;
10:7:50:785;4;1271530;769;
10:7:51:785;5;1151223;849;
10:7:52:785;6;1233816;792;
10:7:53:785;7;1124305;869;
10:7:54:786;8;1128798;863;
10:7:55:786;9;1106419;887;
10:7:56:788;10;1040392;940;
10:7:57:790;11;1109847;885;
10:7:58:792;12;1179808;830;
10:7:59:792;13;1151145;852;
10:8:0:792;14;1161211;843;
10:8:1:793;15;1188184;823;
10:8:2:794;16;1025652;958;
10:8:3:796;17;1026095;958;
10:8:4:796;18;1106237;885;
10:8:5:797;19;1117629;877;
10:8:6:798;20;1114331;881;
10:8:7:799;21;1119965;876;
10:8:8:800;22;1114733;882;
10:8:9:800;23;1093524;899;
10:8:10:800;24;1057195;928;
10:8:11:800;25;1116117;878;
10:8:12:800;26;1054221;931;
10:8:13:800;27;1131512;866;
10:8:14:801;28;1107561;885;
10:8:15:802;29;1043797;942;
10:8:16:803;30;1099514;891;
10:8:17:804;31;1084015;906;
10:8:18:805;32;1051704;934;
10:8:19:805;33;1036938;942;
10:8:20:805;34;1054386;932;
10:8:21:805;35;1053745;932;
10:8:22:805;36;1103623;888;
10:8:23:805;37;1088199;901;
10:8:24:806;38;1027408;958;
10:8:25:806;39;1094786;897;
10:8:26:807;40;1043020;941;
10:8:27:807;41;1087500;901;
10:8:28:808;42;1030515;955;
10:8:29:809;43;1183792;828;
10:8:30:810;44;1157558;847;
10:8:31:810;45;1196146;819;
10:8:32:811;46;1173592;836;
10:8:33:811;47;1145961;856;
10:8:34:811;48;1120835;874;
10:8:35:811;49;1111295;882;
10:8:36:812;50;1097337;894;
10:8:37:812;51;1067409;920;
10:8:38:812;52;1077501;910;
10:8:39:812;53;1078322;912;
10:8:40:812;54;1061682;926;
10:8:41:812;55;1078157;914;
10:8:42:814;56;1096402;895;
10:8:43:814;57;1188719;823;
10:8:44:814;58;1176363;831;
10:8:45:814;59;1168982;837;
10:8:46:814;60;1173387;835;
10:8:47:815;61;1088845;901;
10:8:48:815;62;1038535;948;
10:8:49:815;63;1053095;935;
10:8:50:815;64;1037252;947;
10:8:51:815;65;1084539;905;
10:8:52:816;66;1059239;928;
10:8:53:816;67;1128118;869;
10:8:54:816;68;1105183;884;
10:8:55:816;69;1133989;863;
10:8:56:816;70;1082100;909;
10:8:57:817;71;1084780;908;
10:8:58:817;72;1028816;959;
10:8:59:817;73;1058604;932;
10:9:0:817;74;1143519;862;
10:9:1:817;75;1131909;870;
10:9:2:817;76;1177718;836;
10:9:3:817;77;1151354;855;
10:9:4:817;78;1115928;882;
10:9:5:817;79;1153008;853;
10:9:6:817;80;1083039;909;
10:9:7:817;81;1121908;877;
10:9:8:817;82;1138200;865;
10:9:9:817;83;1136281;864;
10:9:10:818;84;1130997;870;
10:9:11:818;85;1135118;867;
10:9:12:818;86;1104773;891;
10:9:13:818;87;1122424;876;
10:9:14:819;88;1117523;881;
10:9:15:819;89;1130413;872;
10:9:16:819;90;1085679;908;
10:9:17:819;91;1179680;833;
10:9:18:819;92;1211470;813;
10:9:19:819;93;1179921;834;
10:9:20:820;94;1155562;852;
10:9:21:820;95;1165489;844;
