1,18,7,
1,19,25,
1,20,34,
1,21,21,
1,22,12,
1,23,5,
2,0,73,
2,1,99,
2,2,88,
2,3,100,
2,4,88,
2,5,96,
2,6,98,
2,7,92,
2,8,91,
2,9,92,
2,10,110,
2,11,135,
2,12,163,
2,13,185,
2,14,165,
2,15,77,
2,16,29,
2,17,11,
2,18,12,
2,19,15,
2,20,22,
2,21,40,
2,22,66,
2,23,91,
3,0,97,
3,1,112,
3,2,113,
3,3,107,
3,4,126,
3,5,114,
3,6,106,
3,7,103,
3,8,113,
3,9,96,
3,10,100,
3,11,110,
3,12,134,
3,13,137,
3,14,95,
3,15,50,
3,16,21,
3,17,23,
3,18,11,
3,19,17,
3,20,22,
3,21,44,
3,22,75,
3,23,93,
4,0,95,
4,1,130,
4,2,136,
4,3,117,
4,4,117,
4,5,115,
4,6,108,
4,7,100,
4,8,190,
4,9,237,
4,10,176,
4,11,128,
4,12,113,
4,13,220,
4,14,267,
4,15,269,
4,16,241,
4,17,17,
4,18,14,
4,19,13,
4,20,21,
4,21,44,
4,22,74,
4,23,96,
5,0,133,
5,1,109,
5,2,125,
5,3,117,
5,4,115,
5,5,117,
5,6,104,
5,7,122,
5,8,120,
5,9,116,
5,10,115,
5,11,103,
5,12,172,
5,13,151,
5,14,142,
5,15,81,
5,16,42,
5,17,18,
5,18,27,
5,19,13,
5,20,22,
5,21,43,
5,22,63,
5,23,89,
6,0,95,
6,1,106,
6,2,104,
6,3,102,
6,4,96,
6,5,105,
6,6,99,
6,7,93,
6,8,98,
6,9,98,
6,10,88,
6,11,105,
6,12,103,
6,13,99,
6,14,77,
6,15,42,
6,16,20,
6,17,13,
6,18,11,
6,19,10,
6,20,14,
6,21,26,
6,22,48,
6,23,62,
7,0,77,
7,1,79,
7,2,92,
7,3,83,
7,4,91,
7,5,98,
7,6,97,
7,7,83,
7,8,76,
7,9,90,
7,10,81,
7,11,80,
7,12,71,
7,13,54,
7,14,40,
7,15,32,
7,16,18,
7,17,16,
7,18,12,
7,19,11,
7,20,11,
7,21,27,
7,22,33,
7,23,49,
1,0,65,
1,1,75,
1,2,84,
1,3,92,
1,4,74,
1,5,75,
1,6,75,
1,7,91,
1,8,73,
1,9,79,
1,10,82,
1,11,113,
1,12,93,
1,13,64,
1,14,56,
1,15,41,
1,16,20,
1,17,15,
1,18,12,
1,19,12,
1,20,18,
1,21,36,
1,22,55,
1,23,80,
2,0,74,
2,1,92,
2,2,89,
2,3,98,
2,4,100,
2,5,98,
2,6,89,
2,7,100,
2,8,113,
2,9,129,
2,10,103,
2,11,114,
2,12,166,
2,13,157,
2,14,143,
2,15,55,
2,16,23,
2,17,11,
2,18,10,
2,19,11,
2,20,18,
2,21,65,
2,22,69,
2,23,87,
3,0,86,
3,1,92,
3,2,92,
3,3,99,
3,4,91,
3,5,98,
3,6,91,
3,7,81,
3,8,89,
3,9,106,
3,10,99,
3,11,114,
3,12,200,
3,13,159,
3,14,126,
3,15,39,
3,16,22,
3,17,15,
3,18,17,
3,19,13,
3,20,21,
3,21,37,
3,22,68,
3,23,91,
4,0,88,
4,1,90,
4,2,111,
4,3,142,
4,4,140,
4,5,113,
4,6,107,
4,7,124,
4,8,121,
4,9,104,
4,10,101,
4,11,101,
4,12,86,
4,13,74,
4,14,72,
4,15,45,
4,16,21,
4,17,13,
4,18,12,
4,19,11,
4,20,19,
4,21,34,
4,22,57,
4,23,90,
5,0,91,
5,1,88,
5,2,110,
5,3,116,
5,4,108,
5,5,101,
5,6,99,
5,7,96,
5,8,97,
5,9,97,
5,10,87,
5,11,95,
5,12,129,
5,13,103,
5,14,83,
5,15,42,
5,16,23,
5,17,15,
5,18,10,
5,19,14,
5,20,19,
5,21,38,
5,22,55,
5,23,83,
6,0,97,
6,1,85,
6,2,98,
6,3,89,
6,4,91,
6,5,104,
6,6,93,
6,7,83,
6,8,86,
6,9,82,
6,10,98,
6,11,109,
6,12,87,
6,13,217,
6,14,239,
6,15,102,
6,16,34,
6,17,16,
6,18,13,
6,19,11,
6,20,16,
6,21,33,
6,22,46,
6,23,71,
7,0,74,
7,1,92,
7,2,100,
7,3,108,
7,4,105,
7,5,98,
7,6,85,
7,7,83,
7,8,74,
7,9,77,
7,10,72,
7,11,74,
7,12,59,
7,13,55,
7,14,52,
7,15,29,
7,16,21,
7,17,14,
7,18,15,
7,19,9,
7,20,10,
7,21,20,
7,22,32,
7,23,67,
1,0,70,
1,1,73,
1,2,81,
1,3,73,
1,4,84,
1,5,93,
1,6,78,
1,7,65,
1,8,66,
1,9,59,
1,10,62,
1,11,55,
1,12,69,
1,13,76,
1,14,84,
1,15,33,
1,16,15,
1,17,11,
1,18,9,
1,19,11,
1,20,16,
1,21,29,
1,22,43,
1,23,65,
2,0,73,
2,1,82,
2,2,86,
2,3,81,
2,4,80,
2,5,93,
2,6,84,
2,7,77,
2,8,85,
2,9,88,
2,10,99,
2,11,135,
2,12,213,
2,13,168,
2,14,153,
2,15,67,
2,16,20,
2,17,12,
2,18,10,
2,19,13,
2,20,30,
2,21,36,
2,22,59,
2,23,70,
3,0,81,
3,1,89,
3,2,93,
3,3,85,
3,4,90,
3,5,86,
3,6,84,
3,7,87,
3,8,97,
3,9,127,
3,10,110,
3,11,101,
3,12,148,
3,13,136,
3,14,91,
3,15,41,
3,16,19,
3,17,14,
3,18,12,
3,19,14,
3,20,20,
3,21,43,
3,22,68,
3,23,78,
4,0,94,
4,1,117,
4,2,117,
4,3,118,
4,4,109,
4,5,90,
4,6,91,
4,7,97,
4,8,107,
4,9,106,
4,10,87,
4,11,86,
4,12,69,
4,13,65,
4,14,53,
4,15,41,
4,16,20,
4,17,11,
4,18,10,
4,19,12,
4,20,24,
4,21,41,
4,22,62,
4,23,72,
5,0,84,
5,1,92,
5,2,94,
5,3,97,
5,4,111,
5,5,91,
5,6,105,
5,7,121,
5,8,103,
5,9,99,
5,10,110,
5,11,107,
5,12,178,
5,13,205,
5,14,143,
5,15,56,
5,16,23,
5,17,12,
5,18,10,
5,19,14,
5,20,18,
5,21,37,
5,22,65,
5,23,111,
6,0,129,
6,1,100,
6,2,102,
6,3,82,
6,4,94,
6,5,88,
6,6,105,
6,7,111,
6,8,96,
6,9,90,
6,10,85,
6,11,89,
6,12,95,
6,13,125,
6,14,119,
6,15,64,
6,16,23,
6,17,18,
6,18,13,
6,19,9,
6,20,15,
6,21,28,
6,22,52,
6,23,59,
7,0,66,
7,1,103,
7,2,85,
7,3,80,
7,4,99,
7,5,89,
7,6,70,
7,7,66,
7,8,64,
7,9,77,
7,10,64,
7,11,70,
7,12,59,
7,13,50,
7,14,42,
7,15,29,
7,16,18,
7,17,12,
7,18,11,
7,19,10,
7,20,14,
7,21,24,
7,22,41,
7,23,57,
1,0,66,
1,1,131,
1,3,146,
1,4,103,
1,5,87,
1,6,89,
1,7,76,
1,8,79,
1,9,86,
1,10,87,
1,11,90,
1,12,76,
1,13,63,
1,14,38,
1,15,19,
1,16,12,
1,17,13,
1,18,11,
1,19,15,
1,20,24,
1,21,51,
1,22,82,
1,23,90,
2,0,103,
2,1,101,
2,2,107,
2,3,105,
2,4,102,
2,5,94,
2,6,95,
2,7,111,
2,8,122,
2,9,96,
2,10,126,
2,11,167,
2,12,151,
2,13,156,
2,14,82,
2,15,23,
2,16,16,
2,17,13,
2,18,12,
2,19,20,
2,20,32,
2,21,55,
2,22,92,
2,23,96,
3,0,98,
3,1,97,
3,2,101,
3,3,108,
3,4,117,
3,5,128,
3,6,103,
3,7,104,
3,8,107,
3,9,105,
3,10,126,
3,11,157,
3,12,137,
3,13,106,
3,14,51,
3,15,21,
3,16,12,
3,17,11,
3,18,11,
3,19,20,
3,20,37,
3,21,62,
3,22,81,
3,23,86,
4,0,100,
4,1,112,
4,2,113,
4,3,97,
4,4,106,
4,5,98,
4,6,91,
4,7,103,
4,8,119,
4,9,92,
4,10,93,
4,11,97,
4,12,80,
4,13,69,
4,14,57,
4,15,25,
4,16,13,
4,17,11,
4,18,11,
4,19,20,
4,20,37,
4,21,58,
4,22,90,
4,23,84,
5,0,136,
5,1,100,
5,2,117,
5,3,107,
5,4,110,
5,5,101,
5,6,99,
5,7,116,
5,8,111,
5,9,111,
5,10,158,
5,11,265,
5,12,291,
5,13,290,
5,14,82,
5,15,32,
5,16,20,
5,17,12,
5,18,13,
5,19,32,
5,20,42,
5,21,65,
5,22,103,
5,23,106,
6,0,116,
6,1,124,
6,2,116,
6,3,110,
6,4,117,
6,5,105,
6,6,90,
6,7,104,
6,8,101,
6,9,97,
6,10,101,
6,11,103,
6,12,115,
6,13,101,
6,14,56,
6,15,28,
6,16,18,
6,17,14,
6,18,19,
6,19,17,
6,20,36,
6,21,41,
6,22,67,
6,23,68,
7,0,86,
7,1,94,
7,2,77,
7,3,84,
7,4,93,
7,5,94,
7,6,82,
7,7,91,
7,8,97,
7,9,86,
7,10,88,
7,11,82,
7,12,72,
7,13,65,
7,14,37,
7,15,19,
7,16,16,
7,17,9,
7,18,10,
7,19,14,
7,20,18,
7,21,29,
7,22,65,
7,23,71,
1,0,79,
1,1,91,
1,2,93,
1,3,97,
1,4,112,
1,5,94,
1,6,80,
1,7,79,
1,8,92,
1,9,82,
1,10,93,
1,11,79,
1,12,92,
1,13,82,
1,14,56,
1,15,19,
1,16,27,
1,17,10,
1,18,13,
1,19,26,
1,20,35,
1,21,54,
1,22,70,
1,23,74,
2,0,79,
2,1,79,
2,2,104,
2,3,100,
2,4,104,
2,5,97,
2,6,95,
2,7,98,
2,8,98,
2,9,94,
2,10,98,
2,11,134,
2,12,168,
2,13,154,
2,14,68,
2,15,20,
2,16,13,
2,17,9,
2,18,11,
2,19,21,
2,20,56,
2,21,77,
2,22,87,
2,23,105,
3,0,112,
3,1,134,
3,2,141,
3,3,145,
3,4,108,
3,5,151,
3,6,132,
3,7,126,
3,8,110,
3,9,149,
3,10,133,
3,11,154,
3,12,173,
3,13,108,
3,14,65,
3,15,52,
3,16,17,
3,17,12,
3,18,12,
3,19,24,
3,20,43,
3,21,79,
3,22,90,
3,23,115,
4,0,142,
4,1,140,
4,2,148,
4,3,141,
4,4,135,
4,5,124,
4,6,125,
4,7,110,
4,8,112,
4,9,124,
4,10,124,
4,11,107,
4,12,89,
4,13,70,
4,14,55,
4,15,20,
4,16,55,
4,17,10,
4,18,14,
4,19,19,
4,20,31,
4,21,54,
4,22,99,
4,23,95,
5,0,115,
5,1,132,
5,2,152,
5,3,147,
5,4,131,
5,5,108,
5,6,102,
5,7,117,
5,8,144,
5,9,138,
5,10,140,
5,11,178,
5,12,154,
5,13,132,
5,14,77,
5,15,45,
5,16,20,
5,17,27,
5,18,20,
5,19,22,
5,20,41,
5,21,58,
5,22,77,
5,23,95,
6,0,94,
6,1,101,
6,2,101,
6,3,106,
6,4,111,
6,5,106,
6,6,106,
6,7,108,
6,8,106,
6,9,86,
6,10,112,
6,11,106,
6,12,108,
6,13,89,
6,14,44,
6,15,25,
6,16,20,
6,17,11,
6,18,17,
6,19,17,
6,20,26,
6,21,51,
6,22,61,
6,23,77,
7,0,111,
7,1,127,
7,2,129,
7,3,105,
7,4,98,
7,5,96,
7,6,86,
7,7,100,
7,8,94,
7,9,92,
7,10,84,
7,11,76,
7,12,72,
7,13,55,
7,14,41,
7,15,23,
7,16,12,
7,17,12,
7,18,10,
7,19,11,
7,20,16,
7,21,32,
7,22,57,
7,23,71,
1,0,95,
1,1,117,
1,2,88,
1,3,88,
1,4,99,
1,5,88,
1,6,95,
1,7,89,
1,8,77,
1,9,76,
1,10,80,
1,11,88,
1,12,77,
1,13,66,
1,14,34,
1,15,18,
1,16,11,
1,17,8,
1,18,12,
1,19,15,
1,20,31,
1,21,46,
1,22,67,
1,23,71,
2,0,81,
2,1,83,
2,2,104,
2,3,108,
2,4,100,
2,5,108,
2,6,115,
2,7,107,
2,8,130,
2,9,116,
2,10,153,
2,11,206,
2,12,251,
2,13,204,
2,14,110,
2,15,34,
2,16,17,
2,17,15,
2,18,14,
2,19,26,
2,20,36,
2,21,66,
2,22,86,
2,23,89,
3,0,100,
3,1,124,
3,2,138,
3,3,145,
3,4,125,
3,5,138,
3,6,133,
3,7,130,
3,8,132,
3,9,122,
3,10,157,
3,11,201,
3,12,157,
3,13,140,
3,14,63,
3,15,36,
3,16,21,
3,17,13,
3,18,43,
3,19,22,
3,20,44,
3,21,64,
3,22,86,
3,23,95,
4,0,107,
4,1,131,
4,2,142,
4,3,127,
4,4,128,
4,5,102,
4,6,112,
4,7,102,
4,8,102,
4,9,109,
4,10,120,
4,11,106,
4,12,94,
4,13,72,
4,14,73,
4,15,30,
4,16,17,
4,17,12,
4,18,20,
4,19,16,
4,20,35,
4,21,58,
4,22,76,
4,23,82,
5,0,85,
5,1,113,
5,2,113,
5,3,101,
5,4,112,
5,5,106,
5,6,122,
5,7,102,
5,8,94,
5,9,107,
5,10,140,
5,11,174,
5,12,170,
5,13,141,
5,14,58,
5,15,36,
5,16,13,
5,17,10,
5,18,8,
5,19,17,
5,20,32,
5,21,54,
5,22,74,
5,23,73,
6,0,90,
6,1,95,
6,2,98,
6,3,97,
6,4,105,
6,5,100,
6,6,95,
6,7,261,
6,8,163,
6,9,108,
6,10,107,
6,11,97,
6,12,89,
6,13,92,
6,14,63,
6,15,25,
6,16,17,
6,17,11,
6,18,10,
6,19,12,
6,20,21,
6,21,42,
6,22,55,
6,23,75,
7,0,75,
7,1,70,
7,2,89,
7,3,115,
7,4,103,
7,5,69,
7,6,61,
7,7,67,
7,8,62,
7,9,84,
7,10,75,
7,11,70,
7,12,80,
7,13,39,
7,14,1,
